:START_ID,:END_ID,:TYPE,ratio_percent
dolphin::32732,mono:e960ee19c478,HAS_MONOSACCHARIDE,44.41
dolphin::32732,mono:2f713f4e3b43,HAS_MONOSACCHARIDE,42.13
dolphin::32732,mono:7bdebc03fef7,HAS_MONOSACCHARIDE,13.46
dolphin::32733,mono:e960ee19c478,HAS_MONOSACCHARIDE,5.42
dolphin::32733,mono:cd22a9eb89a8,HAS_MONOSACCHARIDE,1.46
dolphin::32733,mono:2f713f4e3b43,HAS_MONOSACCHARIDE,26.27
dolphin::32733,mono:7bdebc03fef7,HAS_MONOSACCHARIDE,58.00
dolphin::32733,mono:be284897ae95,HAS_MONOSACCHARIDE,8.85
dolphin::32734,mono:e960ee19c478,HAS_MONOSACCHARIDE,1.40
dolphin::32734,mono:cd22a9eb89a8,HAS_MONOSACCHARIDE,6.20
dolphin::32734,mono:2f713f4e3b43,HAS_MONOSACCHARIDE,16.80
dolphin::32734,mono:7bdebc03fef7,HAS_MONOSACCHARIDE,28.60
dolphin::32734,mono:69977f67f818,HAS_MONOSACCHARIDE,33.90
dolphin::32734,mono:be284897ae95,HAS_MONOSACCHARIDE,13.10
dolphin::32735,mono:e960ee19c478,HAS_MONOSACCHARIDE,76.68
dolphin::32736,mono:e960ee19c478,HAS_MONOSACCHARIDE,66.70
dolphin::32736,mono:997ac9293e0c,HAS_MONOSACCHARIDE,33.30
dolphin::32737,mono:e960ee19c478,HAS_MONOSACCHARIDE,99.66
dolphin::32737,mono:cd22a9eb89a8,HAS_MONOSACCHARIDE,0.27
dolphin::32737,mono:2f713f4e3b43,HAS_MONOSACCHARIDE,0.07
dolphin::32738,mono:e960ee19c478,HAS_MONOSACCHARIDE,6.21
dolphin::32738,mono:cd22a9eb89a8,HAS_MONOSACCHARIDE,48.83
dolphin::32738,mono:2f713f4e3b43,HAS_MONOSACCHARIDE,32.46
dolphin::32738,mono:6390e9567975,HAS_MONOSACCHARIDE,1.17
dolphin::32738,mono:7bdebc03fef7,HAS_MONOSACCHARIDE,5.88
dolphin::32738,mono:4dc02ca9ea1f,HAS_MONOSACCHARIDE,0.05
dolphin::32738,mono:69977f67f818,HAS_MONOSACCHARIDE,2.20
dolphin::32738,mono:e28c8e0a806b,HAS_MONOSACCHARIDE,0.78
dolphin::32738,mono:a9fe4b9605f3,HAS_MONOSACCHARIDE,0.17
dolphin::32738,mono:2cdb8961f7de,HAS_MONOSACCHARIDE,2.24
dolphin::32739,mono:e960ee19c478,HAS_MONOSACCHARIDE,83.75
dolphin::32739,mono:cd22a9eb89a8,HAS_MONOSACCHARIDE,2.42
