:START_ID,:END_ID,:TYPE
dolphin::32732,organism:b7788fff7095,ISOLATED_FROM
dolphin::32733,organism:1c498d35a1c2,ISOLATED_FROM
dolphin::32734,organism:1074177e55ae,ISOLATED_FROM
dolphin::32735,organism:51deee103f31,ISOLATED_FROM
dolphin::32736,organism:0a9e7f2db401,ISOLATED_FROM
dolphin::32737,organism:e0eff5c0d474,ISOLATED_FROM
dolphin::32738,organism:c4ae214e23bc,ISOLATED_FROM
dolphin::32739,organism:a0d4d7207ab7,ISOLATED_FROM
dolphin::32740,organism:ea4c1783c7bd,ISOLATED_FROM
dolphin::32741,organism:52427e6baa07,ISOLATED_FROM
dolphin::32742,organism:6ee0662949d1,ISOLATED_FROM
dolphin::32743,organism:5efc86ca883e,ISOLATED_FROM
dolphin::32744,organism:fc4b5a64a7f2,ISOLATED_FROM
dolphin::32745,organism:a9553cf4428f,ISOLATED_FROM
dolphin::32746,organism:a9553cf4428f,ISOLATED_FROM
dolphin::32747,organism:166a45e249bd,ISOLATED_FROM
dolphin::32748,organism:519a0e13c9f1,ISOLATED_FROM
dolphin::32749,organism:519a0e13c9f1,ISOLATED_FROM
dolphin::32750,organism:e71f270a61a1,ISOLATED_FROM
dolphin::32751,organism:c07fbaaa1109,ISOLATED_FROM
dolphin::32752,organism:cfd64439fa55,ISOLATED_FROM
dolphin::32753,organism:5ee4e5b9b00d,ISOLATED_FROM
dolphin::32754,organism:d5a73355effb,ISOLATED_FROM
dolphin::32755,organism:50e0567f9c3a,ISOLATED_FROM
dolphin::32756,organism:c4be6b8aba61,ISOLATED_FROM
dolphin::32757,organism:06cce442ecc8,ISOLATED_FROM
dolphin::32758,organism:a0d4d7207ab7,ISOLATED_FROM
dolphin::32759,organism:716160bf88dd,ISOLATED_FROM
dolphin::32760,organism:ada24b6bd2b0,ISOLATED_FROM
dolphin::32761,organism:bce24e92a26a,ISOLATED_FROM
dolphin::32762,organism:40d11b013739,ISOLATED_FROM
dolphin::32763,organism:6f3ff6a95020,ISOLATED_FROM
dolphin::32764,organism:1182e12355c2,ISOLATED_FROM
dolphin::32765,organism:e2b990917659,ISOLATED_FROM
dolphin::32766,organism:ce5bc44202fd,ISOLATED_FROM
dolphin::32767,organism:173ba698d5fa,ISOLATED_FROM
dolphin::32768,organism:de3908fce7d3,ISOLATED_FROM
dolphin::32769,organism:6f4da24b0d60,ISOLATED_FROM
dolphin::32770,organism:6f4da24b0d60,ISOLATED_FROM
dolphin::32771,organism:557206c8586c,ISOLATED_FROM
dolphin::32772,organism:557206c8586c,ISOLATED_FROM
dolphin::32773,organism:06cce442ecc8,ISOLATED_FROM
dolphin::32774,organism:086ab99476eb,ISOLATED_FROM
dolphin::32775,organism:df4b534a465a,ISOLATED_FROM
dolphin::32776,organism:5cc482ab435c,ISOLATED_FROM
dolphin::32777,organism:519a0e13c9f1,ISOLATED_FROM
dolphin::32778,organism:23ffa0747119,ISOLATED_FROM
dolphin::32779,organism:d111ccb7d3b1,ISOLATED_FROM
dolphin::32780,organism:cd618bb9b720,ISOLATED_FROM
dolphin::32781,organism:ace940a6400d,ISOLATED_FROM
dolphin::32782,organism:6bd696b6de84,ISOLATED_FROM
dolphin::32783,organism:8b09a7698ff8,ISOLATED_FROM
dolphin::32784,organism:cfa15222507d,ISOLATED_FROM
dolphin::32785,organism:d5a73355effb,ISOLATED_FROM
dolphin::32786,organism:ef55426ec273,ISOLATED_FROM
dolphin::32787,organism:4f2b3beea3ca,ISOLATED_FROM
dolphin::32788,organism:872476c6f719,ISOLATED_FROM
dolphin::32789,organism:c9c5e3236dba,ISOLATED_FROM
dolphin::32790,organism:3d506d0df59e,ISOLATED_FROM
dolphin::32791,organism:e2b990917659,ISOLATED_FROM
dolphin::32792,organism:00bbc336d04c,ISOLATED_FROM
dolphin::32793,organism:544eaad9e074,ISOLATED_FROM
dolphin::32794,organism:544eaad9e074,ISOLATED_FROM
dolphin::32795,organism:544eaad9e074,ISOLATED_FROM
dolphin::32796,organism:199c50a55045,ISOLATED_FROM
dolphin::32797,organism:b85fdf9a3253,ISOLATED_FROM
dolphin::32798,organism:b4d3e2d8b090,ISOLATED_FROM
dolphin::32799,organism:cac8f6dda684,ISOLATED_FROM
dolphin::32800,organism:be2dbb6c0577,ISOLATED_FROM
dolphin::32801,organism:ff47b703bb6e,ISOLATED_FROM
dolphin::32802,organism:34f23a8fc3f6,ISOLATED_FROM
dolphin::32803,organism:34f23a8fc3f6,ISOLATED_FROM
dolphin::32804,organism:8eed6c0917ef,ISOLATED_FROM
dolphin::32805,organism:5686382809fc,ISOLATED_FROM
dolphin::32806,organism:0c9baf19a991,ISOLATED_FROM
dolphin::32807,organism:b3273d932199,ISOLATED_FROM
dolphin::32808,organism:9abe80be55c1,ISOLATED_FROM
dolphin::32809,organism:0e35c0d2cc57,ISOLATED_FROM
dolphin::32810,organism:23ffa0747119,ISOLATED_FROM
dolphin::32811,organism:57b154518130,ISOLATED_FROM
dolphin::32812,organism:ace940a6400d,ISOLATED_FROM
dolphin::32813,organism:367286363570,ISOLATED_FROM
dolphin::32814,organism:b12e8379b820,ISOLATED_FROM
dolphin::32815,organism:f9b8e7877e55,ISOLATED_FROM
dolphin::32816,organism:9971ad610d36,ISOLATED_FROM
dolphin::32817,organism:6ea219de503f,ISOLATED_FROM
dolphin::32818,organism:3b5d43d19b72,ISOLATED_FROM
dolphin::32819,organism:f70e3ac8bfed,ISOLATED_FROM
dolphin::32820,organism:ed84399b18a4,ISOLATED_FROM
dolphin::32821,organism:f8d50718b1b4,ISOLATED_FROM
dolphin::32822,organism:f8d50718b1b4,ISOLATED_FROM
dolphin::32823,organism:bd6f06709675,ISOLATED_FROM
dolphin::32824,organism:65e81ba0146b,ISOLATED_FROM
dolphin::32825,organism:d8ecbbc4b8dd,ISOLATED_FROM
dolphin::32826,organism:06cce442ecc8,ISOLATED_FROM
dolphin::32827,organism:112ab0235770,ISOLATED_FROM
dolphin::32828,organism:2a46818d5419,ISOLATED_FROM
dolphin::32829,organism:557206c8586c,ISOLATED_FROM
dolphin::32830,organism:06cce442ecc8,ISOLATED_FROM
dolphin::32831,organism:661a1aec39f7,ISOLATED_FROM
dolphin::32832,organism:661a1aec39f7,ISOLATED_FROM
dolphin::32833,organism:b30b5d961078,ISOLATED_FROM
dolphin::32834,organism:23ffa0747119,ISOLATED_FROM
dolphin::32835,organism:5f15457bbd89,ISOLATED_FROM
dolphin::32836,organism:388f54311515,ISOLATED_FROM
dolphin::32837,organism:9eca8523e53e,ISOLATED_FROM
dolphin::32838,organism:1e63d0317840,ISOLATED_FROM
dolphin::32839,organism:589a537d2b59,ISOLATED_FROM
dolphin::32840,organism:cb576fdb2294,ISOLATED_FROM
dolphin::32841,organism:07198c918b5a,ISOLATED_FROM
dolphin::32842,organism:53dacc49fa17,ISOLATED_FROM
dolphin::32843,organism:75093c5d8fa7,ISOLATED_FROM
dolphin::32844,organism:952292c0a898,ISOLATED_FROM
dolphin::32845,organism:6f1c66adc749,ISOLATED_FROM
dolphin::32846,organism:20bc30001600,ISOLATED_FROM
dolphin::32847,organism:dfd8a974072c,ISOLATED_FROM
dolphin::32848,organism:b600b52b14dd,ISOLATED_FROM
dolphin::32849,organism:a778ac84e2e0,ISOLATED_FROM
dolphin::32850,organism:75dd0d6c58d4,ISOLATED_FROM
dolphin::32851,organism:1e7b1cd40276,ISOLATED_FROM
dolphin::32852,organism:39a9831506ee,ISOLATED_FROM
dolphin::32853,organism:e5bc5fde1584,ISOLATED_FROM
dolphin::32854,organism:73e56fa05f2c,ISOLATED_FROM
dolphin::32855,organism:4d87cf7157a0,ISOLATED_FROM
dolphin::32856,organism:f2fb95326205,ISOLATED_FROM
dolphin::32857,organism:8860c603977b,ISOLATED_FROM
dolphin::32858,organism:b09e9b074af3,ISOLATED_FROM
dolphin::32859,organism:de70d7c5a2b0,ISOLATED_FROM
dolphin::32860,organism:c8da5812d2b5,ISOLATED_FROM
dolphin::32861,organism:3bb5cc422933,ISOLATED_FROM
dolphin::32862,organism:2fc783062678,ISOLATED_FROM
dolphin::32863,organism:170ae9be4e89,ISOLATED_FROM
dolphin::32864,organism:4f828d2bbf7c,ISOLATED_FROM
dolphin::32865,organism:8860c603977b,ISOLATED_FROM
dolphin::32866,organism:616e60084a25,ISOLATED_FROM
dolphin::32867,organism:07198c918b5a,ISOLATED_FROM
dolphin::32868,organism:c85c2b28de7a,ISOLATED_FROM
dolphin::32869,organism:a0d4d7207ab7,ISOLATED_FROM
dolphin::32870,organism:2f0282978b07,ISOLATED_FROM
dolphin::32871,organism:885f462671fc,ISOLATED_FROM
dolphin::32872,organism:06cce442ecc8,ISOLATED_FROM
dolphin::32873,organism:a0d4d7207ab7,ISOLATED_FROM
dolphin::32874,organism:bce24e92a26a,ISOLATED_FROM
dolphin::32875,organism:2b73cd4bfa0a,ISOLATED_FROM
dolphin::32876,organism:2677a3faee6a,ISOLATED_FROM
dolphin::32877,organism:44e46b75a208,ISOLATED_FROM
dolphin::32878,organism:dffa2576e7a5,ISOLATED_FROM
dolphin::32879,organism:07a7303f67a9,ISOLATED_FROM
dolphin::32880,organism:07a7303f67a9,ISOLATED_FROM
dolphin::32881,organism:be2dbb6c0577,ISOLATED_FROM
dolphin::32882,organism:e09857ac7f21,ISOLATED_FROM
dolphin::32883,organism:c7d0046378a3,ISOLATED_FROM
dolphin::32884,organism:42c168420fc0,ISOLATED_FROM
dolphin::32885,organism:ff185d9ca521,ISOLATED_FROM
dolphin::32886,organism:6e7f4fc9f024,ISOLATED_FROM
dolphin::32887,organism:0f54f9b5c472,ISOLATED_FROM
dolphin::32888,organism:10a089050d9d,ISOLATED_FROM
dolphin::32889,organism:4411236ab33b,ISOLATED_FROM
dolphin::32890,organism:5a470046bafc,ISOLATED_FROM
dolphin::32891,organism:78bcc07e9c20,ISOLATED_FROM
dolphin::32892,organism:e01478c9d880,ISOLATED_FROM
dolphin::32893,organism:70861cb41f97,ISOLATED_FROM
dolphin::32894,organism:2677a3faee6a,ISOLATED_FROM
dolphin::32895,organism:557206c8586c,ISOLATED_FROM
dolphin::32896,organism:557206c8586c,ISOLATED_FROM
dolphin::32897,organism:ace940a6400d,ISOLATED_FROM
dolphin::32898,organism:f6bf5b11d9a0,ISOLATED_FROM
dolphin::32899,organism:b3f29c43ce4d,ISOLATED_FROM
dolphin::32900,organism:b942005d8706,ISOLATED_FROM
dolphin::32901,organism:b942005d8706,ISOLATED_FROM
dolphin::32902,organism:b942005d8706,ISOLATED_FROM
dolphin::32903,organism:e200d6864f52,ISOLATED_FROM
dolphin::32904,organism:4b198e1fefa0,ISOLATED_FROM
dolphin::32905,organism:8d0e694d24c2,ISOLATED_FROM
dolphin::32906,organism:f0ca429d0f1a,ISOLATED_FROM
dolphin::32907,organism:48e4bd79c000,ISOLATED_FROM
dolphin::32908,organism:5cccd900af7e,ISOLATED_FROM
dolphin::32909,organism:2c8ac83a5905,ISOLATED_FROM
dolphin::32910,organism:22c37602b787,ISOLATED_FROM
dolphin::32911,organism:a0d4d7207ab7,ISOLATED_FROM
dolphin::32912,organism:3b17e778aed0,ISOLATED_FROM
dolphin::32913,organism:3b17e778aed0,ISOLATED_FROM
dolphin::32914,organism:3b17e778aed0,ISOLATED_FROM
dolphin::32915,organism:5de36456e3e1,ISOLATED_FROM
dolphin::32916,organism:6140fa69a8cc,ISOLATED_FROM
dolphin::32917,organism:50e0567f9c3a,ISOLATED_FROM
dolphin::32918,organism:086ab99476eb,ISOLATED_FROM
dolphin::32919,organism:f6bf5b11d9a0,ISOLATED_FROM
dolphin::32920,organism:f6bf5b11d9a0,ISOLATED_FROM
dolphin::32921,organism:b28708ba2ec0,ISOLATED_FROM
dolphin::32922,organism:65672e0cb49c,ISOLATED_FROM
dolphin::32923,organism:589db1cc3b1b,ISOLATED_FROM
dolphin::32924,organism:b1ee987e53b2,ISOLATED_FROM
dolphin::32925,organism:557206c8586c,ISOLATED_FROM
dolphin::32926,organism:ff9d4761a591,ISOLATED_FROM
dolphin::32927,organism:99753cc3b7d1,ISOLATED_FROM
dolphin::32928,organism:7baa3e6335cd,ISOLATED_FROM
dolphin::32929,organism:65cc78762b89,ISOLATED_FROM
dolphin::32930,organism:0e35c0d2cc57,ISOLATED_FROM
dolphin::32931,organism:2822c8c7f915,ISOLATED_FROM
dolphin::32932,organism:58c68c978dfc,ISOLATED_FROM
dolphin::32933,organism:d2a2096f607f,ISOLATED_FROM
dolphin::32934,organism:f6bf5b11d9a0,ISOLATED_FROM
dolphin::32935,organism:f6bf5b11d9a0,ISOLATED_FROM
dolphin::32936,organism:d9dde50e9903,ISOLATED_FROM
dolphin::32937,organism:d12cf7e05708,ISOLATED_FROM
dolphin::32938,organism:a1dc03bdb7c5,ISOLATED_FROM
dolphin::32939,organism:7dffb4831b7e,ISOLATED_FROM
