organism_id:ID,:LABEL,organism_name_raw,organism_name_norm,taxonomy_id,kingdom
organism:b7788fff7095,Organism,Notopterygium incisum,Notopterygium incisum,,
organism:1c498d35a1c2,Organism,Ilex latifolia Thunb,Ilex latifolia Thunb,,
organism:1074177e55ae,Organism,Rubus idaeus,Rubus idaeus,,
organism:51deee103f31,Organism,Zizania latifolia,Zizania latifolia,,
organism:0a9e7f2db401,Organism,Amanita caesarea,Amanita caesarea,,
organism:e0eff5c0d474,Organism,Phomopsis liquidambari,Phomopsis liquidambari,,
organism:c4ae214e23bc,Organism,Passiflora edulis,Passiflora edulis,,
organism:a0d4d7207ab7,Organism,Schisandra chinensis,Schisandra chinensis,,
organism:ea4c1783c7bd,Organism,Trichoderma kanganensis,Trichoderma kanganensis,,
organism:52427e6baa07,Organism,Phyllostachys pubescens Mazel,Phyllostachys pubescens Mazel,,
organism:6ee0662949d1,Organism,Prunus sibirica,Prunus sibirica,,
organism:5efc86ca883e,Organism,Rosa,Rosa,,
organism:fc4b5a64a7f2,Organism,Siraitia grosvenorii,Siraitia grosvenorii,,
organism:a9553cf4428f,Organism,Lilium davidii var. unicolor Cotton,Lilium davidii var. unicolor Cotton,,
organism:166a45e249bd,Organism,Chlorella pyrenoidosa,Chlorella pyrenoidosa,,
organism:519a0e13c9f1,Organism,Fusarium solani,Fusarium solani,,
organism:e71f270a61a1,Organism,Eleocharis dulcis,Eleocharis dulcis,,
organism:c07fbaaa1109,Organism,Castanea henryi.,Castanea henryi.,,
organism:cfd64439fa55,Organism,Lonicera japonica,Lonicera japonica,,
organism:5ee4e5b9b00d,Organism,Panax ginseng,Panax ginseng,,
organism:d5a73355effb,Organism,Gynostemma pentaphyllum,Gynostemma pentaphyllum,,
organism:50e0567f9c3a,Organism,Glehnia littoralis,Glehnia littoralis,,
organism:c4be6b8aba61,Organism,Cucurbita moschata Duchesne,Cucurbita moschata Duchesne,,
organism:06cce442ecc8,Organism,Cordyceps militaris,Cordyceps militaris,,
organism:716160bf88dd,Organism,Plumeria rubra,Plumeria rubra,,
organism:ada24b6bd2b0,Organism,Toona sinensis,Toona sinensis,,
organism:bce24e92a26a,Organism,Millettia Speciosa Champ,Millettia Speciosa Champ,,
organism:40d11b013739,Organism,Sedum sarmentosum Bunge,Sedum sarmentosum Bunge,,
organism:6f3ff6a95020,Organism,Dimocarpus longan Lour.,Dimocarpus longan Lour.,,
organism:1182e12355c2,Organism,Shiraia bambusicola,Shiraia bambusicola,,
organism:e2b990917659,Organism,Angelica sinensis,Angelica sinensis,,
organism:ce5bc44202fd,Organism,Atractylodis macrocephalae Koidz,Atractylodis macrocephalae Koidz,,
organism:173ba698d5fa,Organism,Dendrobium nobile Lindl.,Dendrobium nobile Lindl.,,
organism:de3908fce7d3,Organism,Ipomoea batatas (L.),Ipomoea batatas (L.),,
organism:6f4da24b0d60,Organism,Apocynum venetum L.,Apocynum venetum L.,,
organism:557206c8586c,Organism,Bletilla striata,Bletilla striata,,
organism:086ab99476eb,Organism,Hericium erinaceus,Hericium erinaceus,,
organism:df4b534a465a,Organism,Radix Ginseng Rubra,Radix Ginseng Rubra,,
organism:5cc482ab435c,Organism,Morchella importuna,Morchella importuna,,
organism:23ffa0747119,Organism,Astragalus membranaceus,Astragalus membranaceus,,
organism:d111ccb7d3b1,Organism,Amomum longiligulare,Amomum longiligulare,,
organism:cd618bb9b720,Organism,lichen Xanthoria parietina,lichen Xanthoria parietina,,
organism:ace940a6400d,Organism,Lepidium meyenii,Lepidium meyenii,,
organism:6bd696b6de84,Organism,marine fungus Hansfordia sinuosae,marine fungus Hansfordia sinuosae,,
organism:8b09a7698ff8,Organism,Pleuropterus multiflorus,Pleuropterus multiflorus,,
organism:cfa15222507d,Organism,Holothuria scabra,Holothuria scabra,,
organism:ef55426ec273,Organism,Platycodon grandiflorus,Platycodon grandiflorus,,
organism:4f2b3beea3ca,Organism,Acanthophyllum acerosum,Acanthophyllum acerosum,,
organism:872476c6f719,Organism,Allium ampeloprasum,Allium ampeloprasum,,
organism:c9c5e3236dba,Organism,Chrysanthemum morifolium,Chrysanthemum morifolium,,
organism:3d506d0df59e,Organism,Klebsiella pneumoniae PB12,Klebsiella pneumoniae PB12,,
organism:00bbc336d04c,Organism,Lactarius deliciosus,Lactarius deliciosus,,
organism:544eaad9e074,Organism,Stichopus japonicus,Stichopus japonicus,,
organism:199c50a55045,Organism,Lentinus edodes mycelia,Lentinus edodes mycelia,,
organism:b85fdf9a3253,Organism,Fagopyrum tartaricum,Fagopyrum tartaricum,,
organism:b4d3e2d8b090,Organism,Sargassum Zhangii,Sargassum Zhangii,,
organism:cac8f6dda684,Organism,Solanum muricatum,Solanum muricatum,,
organism:be2dbb6c0577,Organism,Triticum aestivum,Triticum aestivum,,
organism:ff47b703bb6e,Organism,Polygonatum kingianum,Polygonatum kingianum,,
organism:34f23a8fc3f6,Organism,Amanita hemibapha subspecies javanica,Amanita hemibapha subspecies javanica,,
organism:8eed6c0917ef,Organism,quinoa,quinoa,,
organism:5686382809fc,Organism,Ziziphus jujuba Mill,Ziziphus jujuba Mill,,
organism:0c9baf19a991,Organism,Agaricus bisporus,Agaricus bisporus,,
organism:b3273d932199,Organism,Artemisia argyi,Artemisia argyi,,
organism:9abe80be55c1,Organism,Hohenbuehelia serotina,Hohenbuehelia serotina,,
organism:0e35c0d2cc57,Organism,Panax notoginseng,Panax notoginseng,,
organism:57b154518130,Organism,Smilax glabra,Smilax glabra,,
organism:367286363570,Organism,Artemisia sphaerocephala Krasch,Artemisia sphaerocephala Krasch,,
organism:b12e8379b820,Organism,Acanthopanax brachypus,Acanthopanax brachypus,,
organism:f9b8e7877e55,Organism,Alhagi sparsifolia,Alhagi sparsifolia,,
organism:9971ad610d36,Organism,mannatide,mannatide,,
organism:6ea219de503f,Organism,Tricholoma matsutake,Tricholoma matsutake,,
organism:3b5d43d19b72,Organism,Ziziphus jujuba,Ziziphus jujuba,,
