poly_id:ID,:LABEL,source_db,source_record_id,name,raw_representation,canonical_representation,mw_or_range_raw,branching_raw
dolphin::32732,Polysaccharide,DoLPHiN,32732,NIP,"NIP | α-GalA-(1→4); β-Galp-(1→6); α-Arap-(1→5); β-Glcp-(1→4,6) | 1,4-linked α-galacturonic acid, 1,6-linked β-galactose, 1,5-linked α-arabinose, and 1,4,6-linked β- glucose | No relevant information could be found in the literature. | glucose 44.41%; galactose 42.13%; arabinose 13.46%","NIP | α-GalA-(1→4); β-Galp-(1→6); α-Arap-(1→5); β-Glcp-(1→4,6) | 1,4-linked α-galacturonic acid, 1,6-linked β-galactose, 1,5-linked α-arabinose, and 1,4,6-linked β- glucose | No relevant information could be found in the literature. | glucose 44.41%; galactose 42.13%; arabinose 13.46%",2.34 × 10 3 kDa,No relevant information could be found in the literature.
dolphin::32733,Polysaccharide,DoLPHiN,32733,ILP50-2,"ILP50-2 | α-Araf-(1→3); α-Araf-(1→5); α-Araf-(1→3,5); α-Araf-(1→2); α-Rhap-(1→2,4); α-Rhap-(1→4); β-Galp-(1→4); β-Glcp-(1→6); α-Manp-(1→3,6) | α-L-Araf-(1→, →3)-α-L-Araf-(1→, →5)-α-L-Araf-(1→, →3,5)-α-L-Araf-(1→, →2)-α-L-Rhap-(1→, →2,4)-α-L-Rhap-(1→, β-D-Galp-(1→, →4)-β-D-Galp-(1→, →4)-β-D-Glcp-(1→, →6)-α-D-Manp-(1→, and →3,6)-α-D-Galp-(1→ | No relevant information could be found in the literature. | glucose 5.42%; mannose 1.46%; galactose 26.27%; arabinose 58.0%; rhamnose 8.85%","ILP50-2 | α-Araf-(1→3); α-Araf-(1→5); α-Araf-(1→3,5); α-Araf-(1→2); α-Rhap-(1→2,4); α-Rhap-(1→4); β-Galp-(1→4); β-Glcp-(1→6); α-Manp-(1→3,6) | α-L-Araf-(1→, →3)-α-L-Araf-(1→, →5)-α-L-Araf-(1→, →3,5)-α-L-Araf-(1→, →2)-α-L-Rhap-(1→, →2,4)-α-L-Rhap-(1→, β-D-Galp-(1→, →4)-β-D-Galp-(1→, →4)-β-D-Glcp-(1→, →6)-α-D-Manp-(1→, and →3,6)-α-D-Galp-(1→ | No relevant information could be found in the literature. | glucose 5.42%; mannose 1.46%; galactose 26.27%; arabinose 58.0%; rhamnose 8.85%",149kDa,No relevant information could be found in the literature.
dolphin::32734,Polysaccharide,DoLPHiN,32734,RPP-3a,"RPP-3a | α-Araf-(1→5); α-Araf-(1→3,5); α-Araf-(1→3); α-Araf-(1→3,6); β-Galp-(1→4); β-Galp-(1→4); β-Glcp-(1→2,6) | →4)-β-Galp-(1→3,4)-α-Rhap-(1→[4)-α-GalAp-(1→4)-α-GalAp-(1→]n | α-Araf-(1→, →5)-α-Araf-(1→, →3,5)-α-Araf-(1→, →3)-β-Galp-(1→, →3,6)-β-Galp-(1→, →4)-β-Glcp-(1→, and →2,6)-α-Manp-1→ residues | glucose 1.4%; mannose 6.2%; galactose 16.8%; arabinose 28.6%; galacturonic acid 33.9%; rhamnose 13.1%","RPP-3a | α-Araf-(1→5); α-Araf-(1→3,5); α-Araf-(1→3); α-Araf-(1→3,6); β-Galp-(1→4); β-Galp-(1→4); β-Glcp-(1→2,6) | →4)-β-Galp-(1→3,4)-α-Rhap-(1→[4)-α-GalAp-(1→4)-α-GalAp-(1→]n | α-Araf-(1→, →5)-α-Araf-(1→, →3,5)-α-Araf-(1→, →3)-β-Galp-(1→, →3,6)-β-Galp-(1→, →4)-β-Glcp-(1→, and →2,6)-α-Manp-1→ residues | glucose 1.4%; mannose 6.2%; galactose 16.8%; arabinose 28.6%; galacturonic acid 33.9%; rhamnose 13.1%",88.997 kDa,"α-Araf-(1→, →5)-α-Araf-(1→, →3,5)-α-Araf-(1→, →3)-β-Galp-(1→, →3,6)-β-Galp-(1→, →4)-β-Glcp-(1→, and →2,6)-α-Manp-1→ residues"
dolphin::32735,Polysaccharide,DoLPHiN,32735,ZLP-1,"ZLP-1 | β-Glcp-(1→3); β-Glcp-(1→4); β-Glcp-(1→3,6); β-Galp-(1→3) | →3)-β-Glcp-(1→3)-β-Glcp-(1→4)-β-Glcp-(1→4)-β-Glcp-(1→3,6)-β-Galp-(1→3)-β-Glcp-(1→ | No relevant information could be found in the literature. | glucose 76.68%; galactose Exist (No specific proportion could be found in the literature); arabinose Exist (No specific proportion could be found in the literature)","ZLP-1 | β-Glcp-(1→3); β-Glcp-(1→4); β-Glcp-(1→3,6); β-Galp-(1→3) | →3)-β-Glcp-(1→3)-β-Glcp-(1→4)-β-Glcp-(1→4)-β-Glcp-(1→3,6)-β-Galp-(1→3)-β-Glcp-(1→ | No relevant information could be found in the literature. | glucose 76.68%; galactose Exist (No specific proportion could be found in the literature); arabinose Exist (No specific proportion could be found in the literature)",103kDa,No relevant information could be found in the literature.
dolphin::32736,Polysaccharide,DoLPHiN,32736,AC-1,"AC-1 | α-Glcp-(1→4); α-Glcp-(1→3,6) | 1,4‑linked α‑D‑glucose and 1,3,6‑linked α‑D‑glucose | one 1‑linked α‑D‑lyxose residue | glucose 66.7%; lyxose 33.3%","AC-1 | α-Glcp-(1→4); α-Glcp-(1→3,6) | 1,4‑linked α‑D‑glucose and 1,3,6‑linked α‑D‑glucose | one 1‑linked α‑D‑lyxose residue | glucose 66.7%; lyxose 33.3%",19.329kDa,one 1‑linked α‑D‑lyxose residue
dolphin::32737,Polysaccharide,DoLPHiN,32737,PLN-1,PLN-1 | α-Glcp-(1→6); α-Glcp-(1→4) | →[4)-α-d-Glcp-(1→6)-α-d-Glcp-(1→4)-α-d-Glcp-(1→4)-α-d-Glcp-(1→]n | No relevant information could be found in the literature. | glucose 99.66%; mannose 0.27%; galactose 0.07%,PLN-1 | α-Glcp-(1→6); α-Glcp-(1→4) | →[4)-α-d-Glcp-(1→6)-α-d-Glcp-(1→4)-α-d-Glcp-(1→4)-α-d-Glcp-(1→]n | No relevant information could be found in the literature. | glucose 99.66%; mannose 0.27%; galactose 0.07%,343 kDa,No relevant information could be found in the literature.
dolphin::32738,Polysaccharide,DoLPHiN,32738,PFP1,"PFP1 | β-Manp-(2→1,2); β-Manp-(6→1); α-Manp-(4→1); β-Glcp-(4→1); α-Galp-(3→1); β-Manp-(6→1); β-Galp-(6→1,2); β-Manp-(3→1,3) | →1)-α-D-Manp→1,2)-β-D-Manp-linked 1,2,6)-β-D-Manp residues | →1)-β-D-Galp, →1,4)-α-D-Manp, →1, 4)-β-D-Glcp, →1,3)-α-D-Galp, →1,6)-β-D-Manp, →1,6)-β-D-Galp, →1,2,3)-β-D-Manp and →1,3,6)-β-D-Galp residues | glucose 6.21%; mannose 48.83%; galactose 32.46%; xylose 1.17%; arabinose 5.88%; ribose 0.05%; galacturonic acid 2.2%; glucuronic acid 0.78%; fucose 0.17%; fructose 2.24%","PFP1 | β-Manp-(2→1,2); β-Manp-(6→1); α-Manp-(4→1); β-Glcp-(4→1); α-Galp-(3→1); β-Manp-(6→1); β-Galp-(6→1,2); β-Manp-(3→1,3) | →1)-α-D-Manp→1,2)-β-D-Manp-linked 1,2,6)-β-D-Manp residues | →1)-β-D-Galp, →1,4)-α-D-Manp, →1, 4)-β-D-Glcp, →1,3)-α-D-Galp, →1,6)-β-D-Manp, →1,6)-β-D-Galp, →1,2,3)-β-D-Manp and →1,3,6)-β-D-Galp residues | glucose 6.21%; mannose 48.83%; galactose 32.46%; xylose 1.17%; arabinose 5.88%; ribose 0.05%; galacturonic acid 2.2%; glucuronic acid 0.78%; fucose 0.17%; fructose 2.24%",202kDa,"→1)-β-D-Galp, →1,4)-α-D-Manp, →1, 4)-β-D-Glcp, →1,3)-α-D-Galp, →1,6)-β-D-Manp, →1,6)-β-D-Galp, →1,2,3)-β-D-Manp and →1,3,6)-β-D-Galp residues"
dolphin::32739,Polysaccharide,DoLPHiN,32739,SCPP22,"SCPP22 | α-Glcp-(1→4) | 1,4-α-d-Glup | No relevant information could be found in the literature. | glucose 83.75%; mannose 2.42%; galactose 9.46%; xylose 0.83%; arabinose 1.0%; rhamnose 2.53%","SCPP22 | α-Glcp-(1→4) | 1,4-α-d-Glup | No relevant information could be found in the literature. | glucose 83.75%; mannose 2.42%; galactose 9.46%; xylose 0.83%; arabinose 1.0%; rhamnose 2.53%",143±0.13 kDa,No relevant information could be found in the literature.
dolphin::32740,Polysaccharide,DoLPHiN,32740,TPS,"TPS | α-Galp-(1→5); β-Manf-(1→5,6); β-Manf-(1→4); α-Glcp-(1→1); β-Galf-(1→1) | →6-α-d-Galp-1→5-β-d-Manf-1→5,6-β-d-Manf-1→5,6-β-d-Manf-1→ | α-d-Glcp-1→4-α-d-Glcp-1→, β-d-Galf-1→, and α-d-Glcp-1→ | glucose 10.0%; mannose 45.5%; galactose 39.0%; glucuronic acid 5.5%","TPS | α-Galp-(1→5); β-Manf-(1→5,6); β-Manf-(1→4); α-Glcp-(1→1); β-Galf-(1→1) | →6-α-d-Galp-1→5-β-d-Manf-1→5,6-β-d-Manf-1→5,6-β-d-Manf-1→ | α-d-Glcp-1→4-α-d-Glcp-1→, β-d-Galf-1→, and α-d-Glcp-1→ | glucose 10.0%; mannose 45.5%; galactose 39.0%; glucuronic acid 5.5%",307.4kDa,"α-d-Glcp-1→4-α-d-Glcp-1→, β-d-Galf-1→, and α-d-Glcp-1→"
dolphin::32741,Polysaccharide,DoLPHiN,32741,NPs,"NPs | β-xylose-(1→4); α-Arap-(1→)3; α-Rhap-(1→4); β-Galp-(1→4); β-Manp-(1→4); β-Glcp-(1→4) | the linkage styles of monosaccharides in hemicellulose were probably composed of β-1,4-D-xylose, α-1,3-L-arabinose, α-1,4-rhamnose, β-1,4-D-galactose and β-1,4-D-mannose while cellulose and pectin in bamboo leaves mainly contributed to producing β-1,4-glucose and some uronic acids | No relevant information could be found in the literature. | glucose 13.03%; galactose 20.19%; arabinose 19.12%; rhamnose 47.65%","NPs | β-xylose-(1→4); α-Arap-(1→)3; α-Rhap-(1→4); β-Galp-(1→4); β-Manp-(1→4); β-Glcp-(1→4) | the linkage styles of monosaccharides in hemicellulose were probably composed of β-1,4-D-xylose, α-1,3-L-arabinose, α-1,4-rhamnose, β-1,4-D-galactose and β-1,4-D-mannose while cellulose and pectin in bamboo leaves mainly contributed to producing β-1,4-glucose and some uronic acids | No relevant information could be found in the literature. | glucose 13.03%; galactose 20.19%; arabinose 19.12%; rhamnose 47.65%",5.77kDa,No relevant information could be found in the literature.
