source_id,target_id,edge_type,source_db
dolphin::32732,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32733,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32734,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32735,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32736,disease:4c2783706964,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32737,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32738,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32739,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32740,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32741,disease:639cdb96cd99,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32742,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32743,disease:4c2783706964,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32744,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32745,disease:639cdb96cd99,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32746,disease:639cdb96cd99,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32747,disease:4c2783706964,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32748,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32749,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32750,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32751,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32752,disease:1fddeb02d9df,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32753,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32754,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32755,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32756,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32757,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32758,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32759,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32760,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32761,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32762,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32763,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32764,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32764,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32765,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32766,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32767,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32768,disease:87c254ba292b,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32769,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32771,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32772,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32773,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32773,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32774,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32775,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32776,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32776,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32777,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::32778,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
