function_id,function_name_norm,function_group
function:9051f68a7c0f,immunomodulatory,
function:8bc4ac4251bf,microbiota_regulation,
function:ae0df7018a7f,antioxidant,
function:bfe4cb549d72,antitumor,
function:b40bc13fec00,antidiabetic,
function:c59e879f61be,antiaging,
function:0d276c99d3e0,moisture_absorption,
function:706a8a5c64f2,antimicrobial,
function:962a5113af2f,neuroprotective,
function:eea450604f60,reproductive_support,
function:89a4e8b2603e,organ_protective,
function:0410fe6bc330,anticoagulant,
function:655ea0a4da8a,antiproliferative,
function:8913e15071d3,antifatigue,
function:c1b2b81cb31d,antihypoxic,
function:556eb4150519,radioprotective,
function:69e084e355dc,antiobesity,
function:8108c1c0e826,cholesterol_lowering,
function:a578d3368661,lipid_lowering,
function:a9c149b09d01,anemia_improving,
function:3db4379442dc,antiinflammatory,
function:709fd3ef9350,anticomplement,
function:50d8b4a941c2,unknown,
function:68e53c2fe75e,an_important_source_of_dietary_fiber,
function:9610014d9c08,antiviral,
function:2ffd10814851,emulsifying,
function:593e2c43f637,moisturizing_lubricating_and_reducing_wrinkles,
function:4f9f77fe7063,drug_delivery,
function:86a2a8e52ef6,osteogenic,
function:747a2658d08a,whitening,
function:df256c50fdaf,plant_defense,
function:a0a911f076e4,antinociceptive,
function:012ab9f34bd8,store_carbohydrates,
function:f639240cfbfb,affect_the_absorption,
function:588027d62dfc,treating_alzheimer_s_disease,
function:00b288701f82,angiogenesis_inhibition,
function:7c21a0656d2d,percutaneous_absorption_promoting,
function:79f8a35e1084,food_additives,
function:a09280d9482a,dental_caries_prevention,
function:836992dd617d,procoagulant_activity,
function:57995d23adce,pro_angiogenic,
function:85240da2b0c7,ability_to_gel,
function:949da8727dc0,be_glucosylated,
function:2e49707cd465,inhibiting_lipid_accumulation,
function:f6227cd42042,radiation_hardening,
function:742a6166a9ba,regulation_of_iron_metabolism,
function:8983a1efb31d,inhibition_of_glycation_reaction,
function:3918373cf555,ii,
function:c156e4081bd0,improve_colonic_health,
function:2ceb3e534e8c,improving_colonic_health,
function:07f6eef3573c,potential_bioactive_or_technological_substances,
function:2c3fe5b1eb6d,prebiotic_activity,
function:e9f7be1b1f56,reducing_capacity,
function:ee57f439744b,the_protective_effect_on_bees,
function:a386dcd6d84d,improve_liver_function,
function:e45182ac6c56,anti_apoptosis,
function:084b53435b40,inhibit_the_proliferation_of_osteosarcoma_cells,
function:7e24fa1f9a36,reduce_fat,
function:7315746e9361,cell_to_cell_signaling,
function:bb67443bfe59,protect_cells,
function:d5b358a9151c,have_moisturizing_effect,
function:45fe1e65d62b,i_r,
function:0cc15b118542,bacteroides_cellulosilyticus_bc,
function:b54ed51ee880,bacteroides_ovatus_bo,
function:5647bec6a11a,spaw_sanfh,
function:6f92226ef7f3,nti_myocardial_ischemic,
