bond_id,bond_text_raw,bond_signature,anomericity,donor_residue,acceptor_position
bond:a7301c11d9f4,α-GalA-(1→4),α-GalA-(1→4),,,
bond:9ef0e89bad3c,β-Galp-(1→6),β-Galp-(1→6),,,
bond:666c5efc54b1,α-Arap-(1→5),α-Arap-(1→5),,,
bond:432da5937745,"β-Glcp-(1→4,6)","β-Glcp-(1→4,6)",,,
bond:7eb0181e5395,α-Araf-(1→3),α-Araf-(1→3),,,
bond:fed568ac0d58,α-Araf-(1→5),α-Araf-(1→5),,,
bond:6dac55dd4b54,"α-Araf-(1→3,5)","α-Araf-(1→3,5)",,,
bond:6860798aab5e,α-Araf-(1→2),α-Araf-(1→2),,,
bond:05ccd11fb583,"α-Rhap-(1→2,4)","α-Rhap-(1→2,4)",,,
bond:0391cd25bbaf,α-Rhap-(1→4),α-Rhap-(1→4),,,
bond:15c5899bdb60,β-Galp-(1→4),β-Galp-(1→4),,,
bond:b49a301d3721,β-Glcp-(1→6),β-Glcp-(1→6),,,
bond:f9986e1d81b5,"α-Manp-(1→3,6)","α-Manp-(1→3,6)",,,
bond:71846eee06cd,"α-Araf-(1→3,6)","α-Araf-(1→3,6)",,,
bond:313e20ed1058,"β-Glcp-(1→2,6)","β-Glcp-(1→2,6)",,,
bond:14d097721c42,β-Glcp-(1→3),β-Glcp-(1→3),,,
bond:380ef2e4ac6d,β-Glcp-(1→4),β-Glcp-(1→4),,,
bond:88a9bc17c010,"β-Glcp-(1→3,6)","β-Glcp-(1→3,6)",,,
bond:568c1e7f2c49,β-Galp-(1→3),β-Galp-(1→3),,,
bond:4927d2a793bf,α-Glcp-(1→4),α-Glcp-(1→4),,,
bond:cc3d4eb4b5f1,"α-Glcp-(1→3,6)","α-Glcp-(1→3,6)",,,
bond:49c88a83e4c2,α-Glcp-(1→6),α-Glcp-(1→6),,,
bond:63f1f2cd5ec2,"β-Manp-(2→1,2)","β-Manp-(2→1,2)",,,
bond:93c428812320,β-Manp-(6→1),β-Manp-(6→1),,,
bond:5f6827a102d1,α-Manp-(4→1),α-Manp-(4→1),,,
bond:7298acf1fa37,β-Glcp-(4→1),β-Glcp-(4→1),,,
bond:b30e13089dee,α-Galp-(3→1),α-Galp-(3→1),,,
bond:9205ba20a866,"β-Galp-(6→1,2)","β-Galp-(6→1,2)",,,
bond:7fafe1effab1,"β-Manp-(3→1,3)","β-Manp-(3→1,3)",,,
bond:3290b3f34adc,α-Galp-(1→5),α-Galp-(1→5),,,
bond:eefdd65afc66,"β-Manf-(1→5,6)","β-Manf-(1→5,6)",,,
bond:529d793ce9c9,β-Manf-(1→4),β-Manf-(1→4),,,
bond:d7527f3c34fe,α-Glcp-(1→1),α-Glcp-(1→1),,,
bond:1422dba28a18,β-Galf-(1→1),β-Galf-(1→1),,,
bond:ee3b36648234,β-xylose-(1→4),β-xylose-(1→4),,,
bond:b36dba22d2ee,α-Arap-(1→)3,α-Arap-(1→)3,,,
bond:4341e8dcaf49,β-Manp-(1→4),β-Manp-(1→4),,,
bond:6507e7302c35,"α-Galp-(4,6→1)","α-Galp-(4,6→1)",,,
bond:f040c0dc3362,β-Araf-(5→1),β-Araf-(5→1),,,
bond:9e772351c137,α-Xylp-(4→1),α-Xylp-(4→1),,,
bond:c9e169e2ac4e,α-GlcA-(2→1),α-GlcA-(2→1),,,
bond:c4533beb842e,α-Galp-(1→6),α-Galp-(1→6),,,
bond:7c2c86b646c5,β-Arap-(1→2),β-Arap-(1→2),,,
bond:5f5b8f9a3ede,β-GlcA-(1→4),β-GlcA-(1→4),,,
bond:1931b27204fd,"β-Manp-(1→3,6)","β-Manp-(1→3,6)",,,
bond:c1b10e35ea5c,α-Manp-(1→3),α-Manp-(1→3),,,
bond:86a2d0abdf17,"α-Manp-(1→ 2,6)","α-Manp-(1→ 2,6)",,,
bond:d1514ba18b2a,"α-GalA6Me-(1→3,4)","α-GalA6Me-(1→3,4)",,,
bond:614d3667901f,"α-Arap-(1→3,6)","α-Arap-(1→3,6)",,,
bond:a2cf9c45ddbf,α-Rhap-(1→2),α-Rhap-(1→2),,,
bond:5d001718b32c,α-Araf-(3→5),α-Araf-(3→5),,,
bond:ca969f5d253b,"α-Manp-(1→4,6)","α-Manp-(1→4,6)",,,
bond:cc1677c585bf,α-Galp-(1→4),α-Galp-(1→4),,,
bond:90e6645d4e3e,α-Glcp-(4→1),α-Glcp-(4→1),,,
bond:ed446ca65aaf,"β-Galp-(1→4,6)","β-Galp-(1→4,6)",,,
bond:70a9014cc23a,"α-Glcp-(1→1,4)","α-Glcp-(1→1,4)",,,
bond:c4132e365903,α-Glcp-(6→1),α-Glcp-(6→1),,,
bond:90e18407cfd8,"α-Glcp-(1→4,6)","α-Glcp-(1→4,6)",,,
bond:bb61b5ac28c4,β-Galp-(1→2),β-Galp-(1→2),,,
bond:d0c29fa08a4b,α-Manp-(1→2),α-Manp-(1→2),,,
bond:7372fc450f24,β-GlcA-(1→6),β-GlcA-(1→6),,,
bond:bf7035146e0d,α-Glcp-(1→3),α-Glcp-(1→3),,,
bond:5eadc4236c1b,α-Xylp-(1→4),α-Xylp-(1→4),,,
bond:9fc12cbd95c8,α-GalA-(1→6),α-GalA-(1→6),,,
bond:b7480a2a6e50,"β-Galp-(1→3,4)","β-Galp-(1→3,4)",,,
bond:0c9d302ed775,"α-Glcp-(1→3,5)","α-Glcp-(1→3,5)",,,
bond:4e27cc9d4b72,β-Araf-(1→5),β-Araf-(1→5),,,
bond:df3ba6c7ab0f,α-Manp-(1→6),α-Manp-(1→6),,,
bond:54af7467d9e8,α-Araf-(1→6),α-Araf-(1→6),,,
bond:ea382c001d13,α-Glcp-(1→5),α-Glcp-(1→5),,,
bond:74b857aeb6e8,α-Araf-(1→4),α-Araf-(1→4),,,
bond:35465f06d596,β-Araf-(1→4),β-Araf-(1→4),,,
bond:f7e52b6f62cf,"β-Galp-(1→3,6)","β-Galp-(1→3,6)",,,
bond:f1ce7ac79f7c,"β-Galp-(1→2,4)","β-Galp-(1→2,4)",,,
bond:86524655e61a,α-Rhap-(1→6),α-Rhap-(1→6),,,
bond:a6fd732a7854,α-Manp-(1→4),α-Manp-(1→4),,,
bond:7b03d1db998b,β-Galp-(1→5),β-Galp-(1→5),,,
bond:460faf5dd2e1,α-GlcA-(1→4),α-GlcA-(1→4),,,
bond:95ce38c4f64b,"α-Galp-(1→2,3,6)","α-Galp-(1→2,3,6)",,,
bond:9f98ef60c118,β-Arap-(1→4),β-Arap-(1→4),,,
bond:38ac0a48d38f,"α-Manp-(1→2,6)","α-Manp-(1→2,6)",,,
bond:ff7f51a102f8,α-Glcp-(1→2),α-Glcp-(1→2),,,
bond:2a0addbdbf5e,α-Arap-(1→3),α-Arap-(1→3),,,
bond:5d6031860a51,"α-Rhap-(1→3,5)","α-Rhap-(1→3,5)",,,
bond:0c014ec4a783,β-Glcp-(1→1),β-Glcp-(1→1),,,
bond:060c5a040bff,β-Galp-(4→6),β-Galp-(4→6),,,
bond:795c789abba0,α-Galp-(1→3),α-Galp-(1→3),,,
bond:1780e3ec8d43,α-Rhap-(1→5),α-Rhap-(1→5),,,
bond:31f8a855b569,β-GalNAc-(1→3),β-GalNAc-(1→3),,,
bond:10bb269dca4b,α-Galp-(1→2),α-Galp-(1→2),,,
bond:766543d51514,α-Galp-(1→1),α-Galp-(1→1),,,
bond:55190cce9a79,β-Arap-(1→3),β-Arap-(1→3),,,
bond:bfe675f72c33,β-Fruf-(2→1),β-Fruf-(2→1),,,
bond:e8446832bddb,β-Fruf-(2→6),β-Fruf-(2→6),,,
bond:0432387e810d,β-Glcp-(1→5),β-Glcp-(1→5),,,
bond:b160d69f5b9a,β-Araf-(1→3),β-Araf-(1→3),,,
bond:a5fd3418d39b,β-Araf-(1→6),β-Araf-(1→6),,,
bond:f2bff9b4a3ca,β-Galp-(1→1),β-Galp-(1→1),,,
bond:fdd1577d13e6,α-Fucp-(1→3),α-Fucp-(1→3),,,
bond:b5f52a9d6b9f,α-Fucp-(3→4),α-Fucp-(3→4),,,
bond:7c5ec48130f5,α-Xylp-(1→3),α-Xylp-(1→3),,,
bond:445bfbdae87b,α-Glcp-(6→6),α-Glcp-(6→6),,,
bond:d59313a1cdad,β-Xylp-(1→5),β-Xylp-(1→5),,,
bond:7a5ff602584c,α-Galp-(4→2),α-Galp-(4→2),,,
bond:42a38aee9c46,α-Manp-(3→2),α-Manp-(3→2),,,
bond:f71e000d8f88,α-Glcp-(3→2),α-Glcp-(3→2),,,
bond:0ad0bbd820ab,β-Fruf-(2→4),β-Fruf-(2→4),,,
bond:bf71a7aff854,β-Manp-(1→6),β-Manp-(1→6),,,
bond:d5688f33a6b5,β-GalA-(1→4),β-GalA-(1→4),,,
