organism_id,organism_name_raw,organism_name_norm,taxonomy_id,kingdom
organism:b7788fff7095,Notopterygium incisum,Notopterygium incisum,,
organism:1c498d35a1c2,Ilex latifolia Thunb,Ilex latifolia Thunb,,
organism:1074177e55ae,Rubus idaeus,Rubus idaeus,,
organism:51deee103f31,Zizania latifolia,Zizania latifolia,,
organism:0a9e7f2db401,Amanita caesarea,Amanita caesarea,,
organism:e0eff5c0d474,Phomopsis liquidambari,Phomopsis liquidambari,,
organism:c4ae214e23bc,Passiflora edulis,Passiflora edulis,,
organism:a0d4d7207ab7,Schisandra chinensis,Schisandra chinensis,,
organism:ea4c1783c7bd,Trichoderma kanganensis,Trichoderma kanganensis,,
organism:52427e6baa07,Phyllostachys pubescens Mazel,Phyllostachys pubescens Mazel,,
organism:6ee0662949d1,Prunus sibirica,Prunus sibirica,,
organism:5efc86ca883e,Rosa,Rosa,,
organism:fc4b5a64a7f2,Siraitia grosvenorii,Siraitia grosvenorii,,
organism:a9553cf4428f,Lilium davidii var. unicolor Cotton,Lilium davidii var. unicolor Cotton,,
organism:166a45e249bd,Chlorella pyrenoidosa,Chlorella pyrenoidosa,,
organism:519a0e13c9f1,Fusarium solani,Fusarium solani,,
organism:e71f270a61a1,Eleocharis dulcis,Eleocharis dulcis,,
organism:c07fbaaa1109,Castanea henryi.,Castanea henryi.,,
organism:cfd64439fa55,Lonicera japonica,Lonicera japonica,,
organism:5ee4e5b9b00d,Panax ginseng,Panax ginseng,,
organism:d5a73355effb,Gynostemma pentaphyllum,Gynostemma pentaphyllum,,
organism:50e0567f9c3a,Glehnia littoralis,Glehnia littoralis,,
organism:c4be6b8aba61,Cucurbita moschata Duchesne,Cucurbita moschata Duchesne,,
organism:06cce442ecc8,Cordyceps militaris,Cordyceps militaris,,
organism:716160bf88dd,Plumeria rubra,Plumeria rubra,,
organism:ada24b6bd2b0,Toona sinensis,Toona sinensis,,
organism:bce24e92a26a,Millettia Speciosa Champ,Millettia Speciosa Champ,,
organism:40d11b013739,Sedum sarmentosum Bunge,Sedum sarmentosum Bunge,,
organism:6f3ff6a95020,Dimocarpus longan Lour.,Dimocarpus longan Lour.,,
organism:1182e12355c2,Shiraia bambusicola,Shiraia bambusicola,,
organism:e2b990917659,Angelica sinensis,Angelica sinensis,,
organism:ce5bc44202fd,Atractylodis macrocephalae Koidz,Atractylodis macrocephalae Koidz,,
organism:173ba698d5fa,Dendrobium nobile Lindl.,Dendrobium nobile Lindl.,,
organism:de3908fce7d3,Ipomoea batatas (L.),Ipomoea batatas (L.),,
organism:6f4da24b0d60,Apocynum venetum L.,Apocynum venetum L.,,
organism:557206c8586c,Bletilla striata,Bletilla striata,,
organism:086ab99476eb,Hericium erinaceus,Hericium erinaceus,,
organism:df4b534a465a,Radix Ginseng Rubra,Radix Ginseng Rubra,,
organism:5cc482ab435c,Morchella importuna,Morchella importuna,,
organism:23ffa0747119,Astragalus membranaceus,Astragalus membranaceus,,
organism:d111ccb7d3b1,Amomum longiligulare,Amomum longiligulare,,
organism:cd618bb9b720,lichen Xanthoria parietina,lichen Xanthoria parietina,,
organism:ace940a6400d,Lepidium meyenii,Lepidium meyenii,,
organism:6bd696b6de84,marine fungus Hansfordia sinuosae,marine fungus Hansfordia sinuosae,,
organism:8b09a7698ff8,Pleuropterus multiflorus,Pleuropterus multiflorus,,
organism:cfa15222507d,Holothuria scabra,Holothuria scabra,,
organism:ef55426ec273,Platycodon grandiflorus,Platycodon grandiflorus,,
organism:4f2b3beea3ca,Acanthophyllum acerosum,Acanthophyllum acerosum,,
organism:872476c6f719,Allium ampeloprasum,Allium ampeloprasum,,
organism:c9c5e3236dba,Chrysanthemum morifolium,Chrysanthemum morifolium,,
organism:3d506d0df59e,Klebsiella pneumoniae PB12,Klebsiella pneumoniae PB12,,
organism:00bbc336d04c,Lactarius deliciosus,Lactarius deliciosus,,
organism:544eaad9e074,Stichopus japonicus,Stichopus japonicus,,
organism:199c50a55045,Lentinus edodes mycelia,Lentinus edodes mycelia,,
organism:b85fdf9a3253,Fagopyrum tartaricum,Fagopyrum tartaricum,,
organism:b4d3e2d8b090,Sargassum Zhangii,Sargassum Zhangii,,
organism:cac8f6dda684,Solanum muricatum,Solanum muricatum,,
organism:be2dbb6c0577,Triticum aestivum,Triticum aestivum,,
organism:ff47b703bb6e,Polygonatum kingianum,Polygonatum kingianum,,
organism:34f23a8fc3f6,Amanita hemibapha subspecies javanica,Amanita hemibapha subspecies javanica,,
organism:8eed6c0917ef,quinoa,quinoa,,
organism:5686382809fc,Ziziphus jujuba Mill,Ziziphus jujuba Mill,,
organism:0c9baf19a991,Agaricus bisporus,Agaricus bisporus,,
organism:b3273d932199,Artemisia argyi,Artemisia argyi,,
organism:9abe80be55c1,Hohenbuehelia serotina,Hohenbuehelia serotina,,
organism:0e35c0d2cc57,Panax notoginseng,Panax notoginseng,,
organism:57b154518130,Smilax glabra,Smilax glabra,,
organism:367286363570,Artemisia sphaerocephala Krasch,Artemisia sphaerocephala Krasch,,
organism:b12e8379b820,Acanthopanax brachypus,Acanthopanax brachypus,,
organism:f9b8e7877e55,Alhagi sparsifolia,Alhagi sparsifolia,,
organism:9971ad610d36,mannatide,mannatide,,
organism:6ea219de503f,Tricholoma matsutake,Tricholoma matsutake,,
organism:3b5d43d19b72,Ziziphus jujuba,Ziziphus jujuba,,
organism:f70e3ac8bfed,Dendrobium huoshanense,Dendrobium huoshanense,,
organism:ed84399b18a4,Erythronium sibiricum,Erythronium sibiricum,,
organism:f8d50718b1b4,Larix principis-rupprechtii,Larix principis-rupprechtii,,
organism:bd6f06709675,Celosia cristata,Celosia cristata,,
organism:65e81ba0146b,Clinacanthus nutans,Clinacanthus nutans,,
organism:d8ecbbc4b8dd,Rhopilema esculentum,Rhopilema esculentum,,
organism:112ab0235770,Leuconostoc mesenteroides BD1710,Leuconostoc mesenteroides BD1710,,
organism:2a46818d5419,Dendrobium wardianum,Dendrobium wardianum,,
organism:661a1aec39f7,Astragalus,Astragalus,,
organism:b30b5d961078,Polygonatum sibiricum,Polygonatum sibiricum,,
organism:5f15457bbd89,Lonicera japonica Thunb.,Lonicera japonica Thunb.,,
organism:388f54311515,Tremella fuciformis,Tremella fuciformis,,
organism:9eca8523e53e,Abelmoschus esculentus (L.) Moench,Abelmoschus esculentus (L.) Moench,,
organism:1e63d0317840,Saussurea involucrata,Saussurea involucrata,,
organism:589a537d2b59,Coriandrum sativum,Coriandrum sativum,,
