category,poly_id,poly_name,function_id,function_name,stratum,train_support,clean_filtered_rank,baseline_filtered_rank,ontology_filtered_rank,rescue_count_16seeds,evidence_score,organisms,monosaccharides,bonds,diseases,publications,top5_predictions
ontology_rescue,dolphin::34783,APP90-2,function:86a2a8e52ef6,osteogenic,tail_1_10,2,,43,3,5,5,Alhagi maurorum,glucose; mannose; galactose; xylose; ...(+2),"α-Araf-(1→3); α-Araf-(1→5); β-Xylp-(1→4); α-Araf-(1→3,5); ...(+8)",organ injury,10.1016/j.ijbiomac.2020.12.189,
clean_success,dolphin::34001,Galactofucan(N05 RDP 2H),function:bfe4cb549d72,antitumor,head_gt_50,706,1,,,,5,Laminaria saccharina,glucose; mannose; galactose; xylose; ...(+3),α-Fucp-(4→6),Malignant neoplasms,10.1016/j.phytochem.2010.05.021,
clean_success,dolphin::33862,BEP,function:9051f68a7c0f,immunomodulatory,head_gt_50,1294,1,,,,5,Boletus edulis,glucose; galactose; arabinose; rhamnose,β-Glcp-(1→6); β-Galp-(1→6); β-Rhap-(1→3),Malignant neoplasms; 04-Diseases of the immune system,10.1016/j.carbpol.2013.12.085,
clean_success,dolphin::32815,AP1-1,function:9051f68a7c0f,immunomodulatory,head_gt_50,1294,1,,,,5,Alhagi sparsifolia,glucose; mannose; galactose; galacturonic acid,β-GalA-(1→4); β-Galp-(1→6); α-Glcp-(1→4),Malignant neoplasms; 04-Diseases of the immune system,10.1080/10286020.2014.898633,
clean_success,dolphin::32749,DGS2,function:ae0df7018a7f,antioxidant,head_gt_50,1915,1,,,,5,Fusarium solani,glucose; mannose; galactose; arabinose,α-Arap-(1→5); α-Manp-(1→3); α-Glcp-(1→4); α-Glcp-(1→6); ...(+1),04-Diseases of the immune system,10.1016/j.ijbiomac.2019.07.019,
clean_success,dolphin::32736,AC-1,function:ae0df7018a7f,antioxidant,head_gt_50,1915,1,,,,5,Amanita caesarea,glucose; lyxose,"α-Glcp-(1→4); α-Glcp-(1→3,6)",Aging-related disorders,10.3892/mmr.2016.5693,
clean_success,dolphin::33495,AMPs-1-1,function:ae0df7018a7f,antioxidant,head_gt_50,1915,1,,,,5,Armillaria mellea,glucose; galactose; glucuronic acid,"β-Glcp-(1→1); α-Glcp-(1→3,6); β-Glcp-(1→3)",04-Diseases of the immune system,10.1016/j.ijbiomac.2019.11.196,
clean_success,dolphin::33898,PZMP1,function:ae0df7018a7f,antioxidant,head_gt_50,1915,1,,,,5,Ziziphus Jujuba cv. Muzao,glucose; mannose; galactose; xylose; ...(+1),α-Manp-(1→3),04-Diseases of the immune system,10.1016/j.foodchem.2017.11.058,
clean_success,dolphin::33999,Galactofucan(M05 RDP 2H),function:0410fe6bc330,anticoagulant,head_gt_50,157,1,,,,5,Laminaria saccharina,glucose; mannose; galactose; xylose; ...(+3),α-Fucp-(4→6),Malignant neoplasms,10.1016/j.phytochem.2010.05.021,
clean_success,dolphin::33350,Se-POP-3,function:ae0df7018a7f,antioxidant,head_gt_50,1915,1,,,,5,Pleurotus ostreatus,glucose; mannose; galactose,α-Galp-(1→4); β-Glcp-(1→6),Malignant neoplasms,10.1016/j.ijbiomac.2020.10.168,
clean_success,dolphin::34002,Galactofucan(N05 RDP 4H),function:0410fe6bc330,anticoagulant,head_gt_50,157,1,,,,5,Laminaria saccharina,glucose; mannose; galactose; xylose; ...(+3),α-Fucp-(4→6),Malignant neoplasms,10.1016/j.phytochem.2010.05.021,
clean_success,dolphin::32863,RLP50-2,function:9051f68a7c0f,immunomodulatory,head_gt_50,1294,1,,,,5,Rosa laevigata,glucose; mannose; galactose; xylose; ...(+1),"α-Araf-(1→2,5); α-Araf-(1→3,5); α-Araf-(1→4); α-Glcp-(1→6); ...(+4)",Malignant neoplasms; 04-Diseases of the immune system,10.1016/j.carbpol.2021.118080,
clean_success,dolphin::32757,DCP-I,function:ae0df7018a7f,antioxidant,head_gt_50,1915,1,,,,5,Cordyceps militaris,glucose; galactose; galacturonic acid; glucuronic acid; ...(+1),"β-Galp-(1→4); α-Glcp-(1→1,4); α-Glcp-(6→1)",04-Diseases of the immune system,10.1016/j.ijbiomac.2020.09.243,
clean_success,dolphin::33967,Acemannan,function:9051f68a7c0f,immunomodulatory,head_gt_50,1294,1,,,,5,Aloe vera,glucose; mannose; galactose,β-Manp-(1→4); β-Glcp-(1→4); α-Galp-(1→6),04-Diseases of the immune system; 01-Certain infectious or parasitic diseases; 5A44-Insulin-resistance syndromes,https://good-days.ro/files/file/aloe/biological_properties_of_acemannan.pdf,
clean_success,dolphin::33149,LP1,function:9051f68a7c0f,immunomodulatory,head_gt_50,1294,1,,,,5,Dimocarpus longan,glucose; galactose; arabinose,α-Glcp-(1→4); α-GalA-(1→2); β-Fruf-(1→2),Malignant neoplasms; 04-Diseases of the immune system,10.3390/ijms15035140,
clean_success,dolphin::32969,DOP-1,function:ae0df7018a7f,antioxidant,head_gt_50,1915,1,,,,5,Dendrobium officinale,glucose; mannose; galactose,"α-Glcp-(1→4); α-Manp-(1→4); α-Manp-(1→4,6)",04-Diseases of the immune system,10.1002/jsfa.11356,
clean_success,dolphin::32988,GLP,function:ae0df7018a7f,antioxidant,head_gt_50,1915,1,,,,5,Glehnia littoralis,glucose,α-Glcp-(1→4),01-Certain infectious or parasitic diseases,10.1016/j.ijbiomac.2021.04.178,
clean_success,dolphin::33136,heterogalactan,function:ae0df7018a7f,antioxidant,head_gt_50,1915,1,,,,5,Lentinus edodes,mannose; galactose; fucose,α-GalN-(1→6),Malignant neoplasms; 04-Diseases of the immune system,10.1016/s0008-6215(00)87019-6,
clean_success,dolphin::33707,PL-N1,function:bfe4cb549d72,antitumor,head_gt_50,706,1,,,,5,Tropicoporus linteus,glucose; galactose; xylose; arabinose,β-Xylp-(1→4); α-Xylp-(1→2); α-Glcp-(1→4); β-Araf-(1→5),Malignant neoplasms; 04-Diseases of the immune system,10.1016/j.ijbiomac.2021.01.081,
clean_success,dolphin::33242,PCH9FB,function:ae0df7018a7f,antioxidant,head_gt_50,1915,1,,,,5,/,glucose; galactose; fucose,α-Glcp-(1→3),04-Diseases of the immune system,10.1016/j.ijbiomac.2010.12.003,
clean_success,dolphin::32913,MLP-2,function:9051f68a7c0f,immunomodulatory,head_gt_50,1294,1,,,,5,Morus alba,glucose; mannose; galactose; arabinose; ...(+1),β-Glcp-(2→1); β-Glcp-(4→1),04-Diseases of the immune system,10.1016/j.ijbiomac.2024.131701,
clean_success,dolphin::33430,PLP,function:9051f68a7c0f,immunomodulatory,head_gt_50,1294,1,,,,5,Plantago asiatica,glucose; mannose; xylose; arabinose; ...(+1),β-Xylp-(1→4); α-Araf-(1→5); α-GlcA-(1→3),04-Diseases of the immune system,10.1016/j.ijbiomac.2019.05.211,
clean_success,dolphin::33892,RTFP-3,function:ae0df7018a7f,antioxidant,head_gt_50,1915,1,,,,5,Rosa roxburghii,mannose; galactose; arabinose; fucose,α-Galp-(1→6); α-GalA-(1→5); α-Araf-(1→5); β-Glcp-(1→4); ...(+2),5A40-Intermediate hyperglycaemia; Malignant neoplasms,https://doi.org/10.1016/j.jff.2018.11.021,
clean_success,dolphin::33868,AP,function:ae0df7018a7f,antioxidant,head_gt_50,1915,1,,,,5,Aloe vera,glucose; mannose; galactose; arabinose; ...(+3),β-Manp-(1→4); β-Glcp-(1→4),04-Diseases of the immune system,https://doi.org/10.5740/jaoacint.18-0121,
clean_success,dolphin::33598,CBPS-II,function:9051f68a7c0f,immunomodulatory,head_gt_50,1294,1,,,,5,Cordyceps militaris,glucose; mannose; galactose,"α-Glcp-(1→4); α-Galp-(1→3,6); α-Glcp-(1→3,6)",Malignant neoplasms; 04-Diseases of the immune system,10.1016/j.carbpol.2016.01.040,
clean_success,dolphin::32876,SFP,function:bfe4cb549d72,antitumor,head_gt_50,706,1,,,,5,Sargassum fusiforme,galactose; fucose,"α-Fucp-(1→4); α-Fucp-(1→3,4); α-Fucp-(1→3); β-Galp-(1→6)",Malignant neoplasms; 04-Diseases of the immune system,10.1016/j.foodchem.2021.129908,
clean_success,dolphin::33763,NLCEPs-1,function:ae0df7018a7f,antioxidant,head_gt_50,1915,1,,,,5,Notarchus leachii freeri,glucose; galactose; xylose; arabinose; ...(+1),α-Glcp-(1→6); α-Glcp-(1→4),04-Diseases of the immune system,10.1016/j.bioorg.2021.105275,
clean_success,dolphin::35341,SNLWP-1,function:9051f68a7c0f,immunomodulatory,head_gt_50,1294,1,,,,5,Solanum nigrum,glucose; mannose; galactose; arabinose,β-Xylp-(1→4),Malignant neoplasms; 04-Diseases of the immune system,10.1016/j.foodchem.2011.09.060,
